uri,followers,genres,name,popularity
spotify:artist:7vk5e3vY1uw9plTHJAMwjN,15025255,['electro house'],Alan Walker,86
spotify:artist:137W8MRPWKqSmrBGDBFSop,8534177,"['hip hop', 'pittsburgh rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Wiz Khalifa,86
spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,4151510,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",Logic,86
spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,3110498,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Jonas Brothers,86
spotify:artist:0hEurMDQu99nJRq8pTxO14,4148563,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer,85
spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,14221102,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",One Direction,85
spotify:artist:1zNqDE7qDGCsyzJwohVaoX,4721641,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Anne-Marie,85
spotify:artist:5lwmRuXgjX8xIwlnauTZIP,9165766,"['bachata', 'latin', 'tropical']",Romeo Santos,85
spotify:artist:0vR2qb8m9WHeZ5ByCbimq2,3297066,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'pop', 'reggaeton']",Reik,85
spotify:artist:4IWBUUAFIplrNtaOHcJPRM,4832053,"['dance pop', 'pop', 'post-teen pop', 'talent show', 'uk pop']",James Arthur,85
spotify:artist:7z5WFjZAIYejWy0NI5lv4T,1190501,['contemporary country'],Dan + Shay,85
spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,9510120,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Migos,85
spotify:artist:6M2wZ9GZgrQXHCFfjv46we,13858840,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Dua Lipa,85
spotify:artist:0VRj0yCOv2FXJNP47XQnx5,3356367,"['atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Quavo,85
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,11816651,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",Red Hot Chili Peppers,85
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,11787899,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",Martin Garrix,85
spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,2341085,"['dance pop', 'pop', 'post-teen pop']",Bazzi,85
spotify:artist:4obzFoKoKRHIphyHzJ35G3,6433629,"['latin viral pop', 'pop', 'rap latina', 'reggaeton']",Becky G,85
spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,8716627,"['neo mellow', 'piano rock', 'pop', 'pop rock']",OneRepublic,85
spotify:artist:02kJSzxNuaWGqwubyUba0Z,4136461,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']",G-Eazy,85
spotify:artist:6vXTefBL93Dj5IqAWq6OTv,3098776,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",French Montana,85
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,3511995,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Rick Ross,85
spotify:artist:4dpARuHxo51G3z768sgnrY,18101520,"['british soul', 'pop', 'uk pop']",Adele,84
spotify:artist:2kCcBybjl3SAtIcwdWpUe3,2705791,"['emo rap', 'lgbtq+ hip hop']",Lil Peep,84
spotify:artist:3PhoLpVuITZKcymswpck5b,3839759,"['glam rock', 'mellow gold', 'piano rock', 'rock']",Elton John,84
spotify:artist:7FNnA9vBm6EKceENgCGRMb,8232023,"['baile pop', 'funk carioca', 'funk das antigas']",Anitta,84
spotify:artist:3fMbdgg4jU18AjLCKBhRSm,12345940,"['pop', 'r&b', 'soul']",Michael Jackson,84
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,7068535,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Ellie Goulding,84
spotify:artist:21451j1KhjAiaYKflxBjr1,3846388,"['latin', 'latin hip hop', 'latin pop', 'pop', 'reggaeton', 'reggaeton flow', 'tropical']",Zion & Lennox,84
spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,9564982,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",ZAYN,84
spotify:artist:7hJcb9fa4alzcOq3EaNPoG,5196618,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",Snoop Dogg,84
spotify:artist:46SHBwWsqBkxI7EeeBEQG7,5171100,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Kodak Black,84
spotify:artist:2h93pZq0e7k5yf4dywlkpM,4870278,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'pop', 'pop rap', 'rap']",Frank Ocean,84
spotify:artist:0TnOYISbd1XYRBk9myaseg,7311984,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Pitbull,84
spotify:artist:4SsVbpTthjScTS7U2hmr1X,4004904,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Arcangel,84
spotify:artist:6S2OmqARrzebs0tKUEyXyp,15359658,"['dance pop', 'pop', 'post-teen pop']",Demi Lovato,84
spotify:artist:7MiDcPa6UiV3In7lIM71IN,5867933,['sertanejo universitario'],Gusttavo Lima,84
spotify:artist:711MCceyCBcFnzjGY4Q7Un,13057911,"['album rock', 'australian rock', 'hard rock', 'rock']",AC/DC,84
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,2366088,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']",Jonas Blue,84
spotify:artist:0A0FS04o6zMoto8OKPsDwY,1925819,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",YG,84
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,4808725,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",Zedd,84
spotify:artist:2LRoIwlKmHjgvigdNGBHNo,161277,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow']",Feid,84
spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,7213542,"['emo', 'modern rock', 'pop punk']",Fall Out Boy,84
spotify:artist:4LLpKhyESsyAXpc4laK94U,3586480,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",Mac Miller,84
spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,12123828,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",Metallica,84
spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,2774802,"['hawaiian hip hop', 'pop', 'rap']",Russ,84
spotify:artist:7Ln80lUS6He07XvHI8qqHH,8533420,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,84
spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,1809385,"['alternative r&b', 'viral pop']",Joji,84
spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,3411284,"['hip hop', 'pop rap', 'rap']","Tyler, The Creator",84
spotify:artist:0c173mlxpT3dSFRgMO8XPh,6685004,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Big Sean,84
spotify:artist:00XhexlJEXQstHimpZN910,1890583,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Brytiago,84
spotify:artist:1KCSPY1glIKqW2TotWuXOR,7262275,"['dance pop', 'pop', 'post-teen pop']",P!nk,84
spotify:artist:63yrD80RY3RNEM2YDpUpO8,5142865,"['dance pop', 'pop', 'post-teen pop']",Melanie Martinez,84
spotify:artist:17lzZA2AlOHwCwFALHttmp,4967671,"['atl hip hop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Chainz,83
spotify:artist:6KImCVD70vtIoJWnq6nGn3,5162927,"['dance pop', 'pop', 'post-teen pop']",Harry Styles,83
spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,6194125,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop']",Alessia Cara,83
